所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
工单内容页面展示(#2),违规时间展示规则,无,"1. 直播举报工单
2. 其他工单
","1. 展示格式：年-月-日-时-分
2. 不展示
",功能测试,中,手动,迭代测试
工单内容页面展示(#2),回放视频按钮,无,"1. 点击回放视频按钮
","1. 跳出视频弹窗
",功能测试,中,手动,迭代测试
工单内容页面展示(#2),回放视频取时,无,"1. 如视频时间大于20分钟
2. 如视频视频时间前后不足20分钟
","1. 取违规时间前20分钟
2. 取开始-结束时间
",功能测试,中,手动,迭代测试
工单内容页面展示(#2),巡检按钮可见条件,无,"1. 直播间处于「预展中」、「直播中」、「回放中」状态
","1. 按钮可见
",功能测试,中,手动,迭代测试
工单内容页面展示(#2),巡检按钮跳转,无,"1. 点击巡检按钮
","1. 跳出直播弹窗（弹窗展示直播状态、房间名、主题、直播时长、禁用回放视频、关闭）
",功能测试,中,手动,迭代测试
工单内容页面展示(#2),关联订单展示,无,"1. 当前工单有关联订单时展示关联订单编号
2. 若当前工单无关联订单
","1. 点击编号，打开新窗口拍品详情页
2. 展示-
",功能测试,低,手动,迭代测试
工单内容页面展示(#2),商品id展示,无,"1. 当前工单有关联商品（从关联订单中取）时展示商品id
2. 若当前工单无关联商品
3. 若商品为拍品
4. 若商品为标品
","1. 点击商品id，跳转只商品详情页
2. 展示-
3. 展示拍品id
4. 展示标品uri
",功能测试,中,手动,迭代测试
工单内容页面展示(#2),商品类目展示,无,"1. 仅在工单有关联商品时展示
","1. 关联商品拍品分类
",功能测试,中,手动,迭代测试
工单内容页面展示(#2),描述展示,无,"1. 取创建工单时输入的描述内容
","1. 1-1000个字符
",功能测试,中,手动,迭代测试
工单内容页面展示(#2),图片展示 取创建工单时上传的图片展示 0-9张，点击图片打开图片查看弹窗，以大图形式查看图片,无,,,功能测试,中,手动,迭代测试
商品详情页面展示(#2),商品详情展示条件,无,"1. 如工单有关联商品时
2. 如工单无关联商品
","1. 展示商品详情
2. 则不展示
",功能测试,中,手动,迭代测试
商品详情页面展示(#2),商品详情展示字段,无,"1. 商品标题
2. 商品ID
3. 商品类目
4. 状态
5. 上拍时间
6. 截拍时间
7. 商品描述
8. 商品图片
","1. 与该关联商品标题一致
2. 商品为拍品是展示拍品id，为标品时展示标品URI
3. 与该关联商品类目一致
4. 取商品状态展示
5. 与该关联商品上拍时间一致
6. 与该关联商品截拍时间一致
7. 与该关联商品添加描述一致
8. 与该关联商品上传图片一致
",功能测试,中,手动,迭代测试
添加小记页面展示(#2),添加小记描述,无,"1. 必填项
","1. 可输入1-1000个字符
",功能测试,中,手动,迭代测试
添加小记页面展示(#2),添加小记图片上传,无,"1. 选填项
","1. 可上传0-8张图
",功能测试,中,手动,迭代测试
添加小记页面展示(#2),提醒添加时间段设置展示条件,无,"1. 工单状态为已关闭、已解决、已撤销、非人工完结
","1. 可见该字段
",功能测试,中,手动,迭代测试
添加小记页面展示(#2),提醒添加时间段设置,无,"1. 选填项
","1. 点击可选择时间，格式为2019-07-09 14:22
",功能测试,中,手动,迭代测试
添加小记页面展示(#2),提醒添加逻辑,无,"1. 在添加小记设置了时间之后
","1. 在到达设置的时间，工单会触发提醒状态，处于提醒状态的工单会在工单列表置顶并展示一个闹钟的标志
",功能测试,高,手动,迭代测试
添加小记页面展示(#2),添加小记页面可用规则,无,"1. 用户为小二/管理员
2. 当描述输入框处于焦点状态时，监控粘贴快捷键，可提供图片粘贴功能
","1. 可对添加小记进行操作
2. 被粘贴的图片自动上传
",功能测试,高,手动,迭代测试
添加小记页面展示(#2),提交按钮交互,无,"1. 点击提交按钮
","1. 操作成功：toast提示「已添加」
",功能测试,中,手动,迭代测试
处理结果页面展示(#2),录入处理结果可见规则,无,"1. 如工单为系统生成的售假类工单
2. 如工单为除系统生成的售假类工单以外类型
","1. 则展示该页面
2. 则不展示该页页面
",功能测试,中,手动,迭代测试
处理结果页面展示(#2),录入处理结果字段展示,无,"1. 录入处理结果
","1. 必填项，可输入1-1000个字符
",功能测试,中,手动,迭代测试
处理结果页面展示(#2),录入处理结果填写规则,无,"1. 工单状态为未完结状态
2. 工单状态为已完结状态
","1. 可输入处理结果，确定后不可更改
2. 不可输入
",功能测试,中,手动,迭代测试
处理结果页面展示(#2),确定录入按钮交互,无,"1. 点击确定录入按钮
","1. 操作成功：toast提示已录入，表单置灰，确定录入按钮消失
",功能测试,中,手动,迭代测试
完结工单页面展示(#2),完结工单展示字段,无,"1. 申诉处理
2. (店铺)处罚标签
3. (直播)处罚标签
4. 款项划分
","1. 只要是评价申诉工单都展示申诉处理
2. 规则同当前工单系统保持一致
3. 规则同当前工单系统保持一致
4. 规则同当前工单系统保持一致
",功能测试,中,手动,迭代测试
完结工单页面展示(#2),完结工单展示,无,"1. 若无处罚标签、款项划分
","1. 页面只展示完结、关闭按钮
",功能测试,中,手动,迭代测试
完结工单页面展示(#2),完结按钮可见条件,无,"1. 用户为工单受理人
","1. 可见完结按钮
",功能测试,中,手动,迭代测试
完结工单页面展示(#2),完结按钮交互,无,"1. 点击完结按钮
","1. 需进行二次确认，提示信息为「确认完结工单么？」
",功能测试,中,手动,迭代测试
完结工单页面展示(#2),完结按钮规则,无,"1. 如有款项划分
","1. 需弹出弹框，对款项划分模板进行确认
",功能测试,中,手动,迭代测试
完结工单页面展示(#2),操作结果发送系统通知,无,"1. 仅直播举报工单、商品举报工单
","1. 成立：通过「IM-系统通知」推送通知给举报方和被举报方
",功能测试,低,手动,迭代测试
完结工单页面展示(#2),关闭按钮可见条件,无,"1. 用户为工单受理人或工单管理员
2. 工单分类为直播举报工单和商品举报工单时
3. 工单分类为售中、售后、售假时
","1. 可见按钮
2. 小二手工创建的工单可关闭，否则按钮不可见
3. 只有工单管理员可操作，其它小二按钮不可见
",功能测试,高,手动,迭代测试
完结工单页面展示(#2),关闭按钮交互,无,"1. 点击关闭按钮触发后
","1. 需输入备注，可输入1 ~ 1000个字符
",功能测试,中,手动,迭代测试
款项划分提醒页面展示(#2),款项划分提醒展示,无,"1. 打款方式
2. 退款方式
","1. 修改为退款方式
2. 卖家订单退款金额、卖家货款金额、卖家余额退款、卖家消保金退款
",功能测试,中,手动,迭代测试
买家赔付记录页面展示,买家赔付记录展示条件,无,"1. 当前工单的买家之前有过赔付记录
","1. 则点击展示买家赔付记录
",功能测试,中,手动,迭代测试
买家赔付记录页面展示,买家赔付记录展示,无,"1. 点击买家赔付记录展示
","1. 弹窗展示赔付记录
",功能测试,中,手动,迭代测试
买家赔付记录页面展示,页面模块展示,无,"1. 在页面部分模块对当前用户不可用
2. 工单已完结时操作按钮消失
3. 回放视频、巡检按钮可正常使用
","1. 表单置灰不可点击
2. 表单置灰不可点击
",功能测试,中,手动,迭代测试
